City,State,Population,Population Male,Population Female,Sex Ratio Males per 100 Females,Under 5 Years,5 to 9 years,10 to 14 years,15 to 19 Years,20 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years or Over,Median Age,Under 18 Years,18 Years and Over,21 Years and Over,62 Years and Over,65 Years and Over,Males 18 Years and Over,Females 18 Years and Over,18 and Over Sex Ratio 1 Male to 100 Females,Males 65 Years and Over,Females 65 Years and Over,65 and Over Sex Ratio 1 Male to 100 Females,Single Race Population,Multiracial Population,White Population,Black or African American Population,American Indian and Alaska Native,Cherokee Tribal Grouping,Chippewa Tribal Grouping,Navajo Tribal Grouping,Sioux Tribal Grouping,Asian Population,Asian Indian Population,Chinese Population,Filipino Population,Japanese Population,Korean Population,Vietnamese Population,Other Asian Population,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian Population,Guamanian or Chamorro Population,Samoan Population,Other Pacific Islander Population,Other Race Population,White and Black or African American Multiracial Population,White and American Indian and Alaskan Native Multiracial Population,White and Asian Multiracial Population,Black or African American and American Indian and Alaskan Native Multiracial Population,Hispanic or Latino Population,Mexican Population,Puerto Rican Population,Cuban Population,Other Hispanic or Latino Population,Elligible Voter Population,Elligible Male Voter Population,Elligible Female Voter Population
Elizabethtown,KY,154713,76997,77716,99.1,10251,9855,9769,10304,9356,21336,19379,19922,9725,10545,14657,7707,1907,38.6,36298,118415,113097,30132,24271,58102,60313,96.3,11291,12980,87,148673,6040,128460,15287,97,-999999999,-999999999,-999999999,-999999999,3203,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,356,-999999999,-999999999,-999999999,-999999999,1270,2019,1171,549,0,7727,3483,1065,211,2968,116649,57122,59527
Elkhart,IN,206341,101937,104404,97.6,14202,12208,20123,15616,13115,26657,23446,25179,12523,11786,17926,8300,5260,35.9,56669,149672,141866,39000,31486,72507,77165,94,13792,17694,77.9,201061,5280,171592,12665,261,-999999999,-999999999,-999999999,-999999999,2540,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,42,-999999999,-999999999,-999999999,-999999999,13961,1871,1069,429,0,34580,22639,2244,1825,7872,141092,67224,73868
Elmira,NY,83456,41145,42311,97.2,4319,4854,4811,5077,4820,10759,9182,10957,6311,6351,8971,4565,2479,42.4,17285,66171,63448,19628,16015,32519,33652,96.6,6953,9062,76.7,80325,3131,73854,4716,141,-999999999,-999999999,-999999999,-999999999,1294,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,320,-999999999,-999999999,-999999999,-999999999,2700,-999999999,-999999999,-999999999,-999999999,65307,32172,33135
El Paso,TX,843725,416804,426921,97.6,60473,64028,63098,63899,68844,128470,104094,96993,45140,42706,61111,30596,14273,32.6,225223,618502,577407,132150,105980,302426,316076,95.7,44796,61184,73.2,821249,22476,677821,29118,5250,-999999999,-999999999,-999999999,-999999999,9965,2772,1116,1096,579,1856,1157,1389,174,-999999999,-999999999,-999999999,-999999999,98921,5224,1935,2557,56,699471,662342,11273,2628,23228,530405,264935,265470
Enid,OK,61056,30715,30341,101.2,3808,4423,4576,4666,4037,9096,7393,6247,3974,3084,5118,3170,1464,34.9,15681,45375,42578,11911,9752,22236,23139,96.1,4271,5481,77.9,56621,4435,50135,593,2919,-999999999,-999999999,-999999999,-999999999,105,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1181,-999999999,-999999999,-999999999,-999999999,1688,-999999999,-999999999,-999999999,-999999999,8064,-999999999,-999999999,-999999999,-999999999,43112,21650,21462
Erie,PA,269728,131825,137903,95.6,14981,15838,16080,18567,17507,34675,31593,32786,18501,19405,28675,14461,6659,40.2,56861,212867,201134,60720,49795,103725,109142,95,22286,27509,81,258820,10908,231216,18121,996,-999999999,-999999999,-999999999,-999999999,4570,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,98,-999999999,-999999999,-999999999,-999999999,3819,6861,318,1786,206,11903,2841,7350,18,1694,209562,101945,107617
Eugene,OR,382067,187103,194964,96,18172,18132,21186,24786,34930,49618,48154,41457,24653,24947,46925,21431,7676,39.5,69571,312496,294517,90604,76032,151774,160722,94.4,34399,41633,82.6,362738,19329,328130,4883,3392,-999999999,-999999999,-999999999,-999999999,10766,697,3249,1762,617,803,602,3036,1009,-999999999,-999999999,-999999999,-999999999,14558,2259,7287,5208,310,35623,25216,633,709,9065,301460,145770,155690
Eureka,CA,135558,66417,69141,96.1,6806,7388,7661,9172,11433,18419,17407,14948,7550,9748,15643,6203,3180,38.4,25615,109943,102775,31206,25026,53688,56255,95.4,11085,13941,79.5,124840,10718,106738,2059,7073,-999999999,-999999999,-999999999,-999999999,3525,72,447,441,399,183,181,1802,539,-999999999,-999999999,-999999999,-999999999,4906,1140,5385,2044,0,16354,14070,114,158,2012,106177,51269,54908
Evansville,IN,315086,153416,161670,94.9,17799,17506,21294,20139,19317,40634,40037,37407,20786,23885,33124,16968,6190,40.7,68208,246878,233798,68717,56282,119125,127753,93.2,24146,32136,75.1,308364,6722,275753,22657,263,-999999999,-999999999,-999999999,-999999999,4841,1247,1401,512,245,78,377,981,1178,-999999999,-999999999,-999999999,-999999999,3672,4497,341,1201,175,8188,2905,1423,1011,2849,241581,116894,124687
Fairbanks,AK,96849,53163,43686,121.7,6729,6983,6030,6432,9395,16186,12659,10858,5212,5415,7722,2643,585,32.8,23004,73845,68950,14149,10950,40386,33459,120.7,5945,5005,118.8,90593,6256,73145,3962,8955,-999999999,-999999999,-999999999,-999999999,3173,98,385,250,1025,1013,0,402,117,-999999999,-999999999,-999999999,-999999999,1241,1122,2303,1358,71,7939,-999999999,-999999999,-999999999,-999999999,72121,39898,32223
Fort Payne,AL,71513,35688,35825,99.6,4578,4292,5519,5128,4989,8436,9017,8771,5006,3839,7085,3933,920,37.7,17434,54079,51171,13752,11938,26781,27298,98.1,5359,6579,81.5,69468,2045,59305,688,792,-999999999,-999999999,-999999999,-999999999,17,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,339,-999999999,-999999999,-999999999,-999999999,8327,-999999999,-999999999,-999999999,-999999999,10775,-999999999,-999999999,-999999999,-999999999,49295,24299,24996
Fort Smith,AR,249152,120946,128206,94.3,16893,13123,18570,17676,14638,32681,29357,30289,15909,16469,24902,14299,4346,38.6,60208,188944,179709,51631,43547,91743,97201,94.4,19112,24435,78.2,234631,14521,192474,10654,10827,-999999999,-999999999,-999999999,-999999999,8805,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25,-999999999,-999999999,-999999999,-999999999,11846,1781,9058,1368,185,26186,16355,859,12,8960,180929,88192,92737
Fargo,ND,246145,122651,123494,99.3,16092,15857,15895,16929,23875,41744,33267,25087,13118,12582,18255,8501,4943,33.5,55842,190303,176097,38094,31699,94277,96026,98.2,14253,17446,81.7,239016,7129,215122,14003,2811,-999999999,-999999999,-999999999,-999999999,5390,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,671,-999999999,-999999999,-999999999,-999999999,1019,1692,1959,2816,164,8127,-999999999,-999999999,-999999999,-999999999,182228,90669,91559
Faribault,MN,66972,34505,32467,106.3,4422,4014,3768,5606,6965,7375,7906,7916,4491,3894,6230,3320,1065,36.6,14538,52434,47354,12845,10615,27067,25367,106.7,4992,5623,88.8,64197,2775,57069,2986,842,-999999999,-999999999,-999999999,-999999999,1450,9,254,150,180,183,466,208,0,-999999999,-999999999,-999999999,-999999999,1850,657,587,426,0,5689,3634,123,40,1892,50633,25817,24816
Farmington,MO,67215,36153,31062,116.4,3701,3399,4270,3413,3948,10799,9383,8269,4606,4152,6396,3897,982,39.1,13698,53517,52229,13414,11275,29008,24509,118.4,5169,6106,84.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,648,-999999999,-999999999,-999999999,-999999999,53332,28839,24493
Farmington,NM,123958,61512,62446,98.5,7692,9088,10007,8506,7496,16896,15231,13609,8197,7983,10954,5810,2489,36.7,32366,91592,87250,23816,19253,44735,46857,95.5,8628,10625,81.2,119167,4791,64549,1348,49843,-999999999,-999999999,-999999999,-999999999,681,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,2746,280,1545,861,663,25534,-999999999,-999999999,-999999999,-999999999,90506,44078,46428
Fayetteville,NC,526719,260270,266449,97.7,39050,36841,35511,40299,43272,86139,64929,59355,30642,27114,38004,19780,5783,32.5,132898,393821,367855,78967,63567,193063,200758,96.2,26892,36675,73.3,498617,28102,280096,173175,10160,-999999999,-999999999,-999999999,-999999999,12917,1171,788,3912,429,2378,1413,2826,2349,-999999999,-999999999,-999999999,-999999999,19920,10053,3492,2958,2311,66444,30548,16828,2480,16588,378553,186547,192006
Fayetteville,AR,536120,266920,269200,99.2,35350,40407,36770,40270,42263,76750,74875,62844,31647,24479,41768,21406,7291,34.4,135157,400963,374256,84476,70465,196874,204089,96.5,31098,39367,79,519335,16785,448888,13766,6565,-999999999,-999999999,-999999999,-999999999,16987,7112,2967,1378,534,1507,907,2582,9243,-999999999,-999999999,-999999999,-999999999,23886,3904,6653,3346,0,89763,61888,2350,503,25022,366231,177383,188848
Findlay,OH,75783,37880,37903,99.9,4191,4887,4702,4877,4663,10590,8723,9283,5195,5242,7351,4363,1716,39.9,16588,59195,56265,16776,13430,29093,30102,96.6,5797,7633,75.9,74131,1652,69846,1228,232,-999999999,-999999999,-999999999,-999999999,1422,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1403,-999999999,-999999999,-999999999,-999999999,4358,-999999999,-999999999,-999999999,-999999999,57636,28251,29385
Flagstaff,AZ,143476,71036,72440,98.1,6900,7749,8629,17156,18360,19997,15283,14245,9092,7479,11890,5699,997,31.1,28005,115471,97207,23241,18586,56074,59397,94.4,8595,9991,86,137246,6230,91649,1364,37187,-999999999,-999999999,-999999999,-999999999,2730,201,773,664,28,222,37,805,419,-999999999,-999999999,-999999999,-999999999,3897,1322,2458,1376,250,20542,-999999999,-999999999,-999999999,-999999999,112926,55075,57851
Flint,MI,405813,194886,210927,92.4,23898,24334,26190,25956,24498,50664,46993,52384,26156,31531,42600,21192,9417,40.4,90568,315245,301223,91168,73209,149310,165935,90,32080,41129,78,391024,14789,301546,81575,2048,-999999999,-999999999,-999999999,-999999999,3919,1956,222,476,50,443,43,729,91,-999999999,-999999999,-999999999,-999999999,1845,6349,2495,1474,1213,14490,9727,2293,98,2372,311677,147827,163850
Florence,SC,204911,97076,107835,90,12425,11541,14649,13505,13595,25997,23203,24984,13569,14402,22522,11425,3094,40.4,46925,157986,150553,44934,37041,72462,85524,84.7,15810,21231,74.5,203287,1624,110645,88531,527,-999999999,-999999999,-999999999,-999999999,2035,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,95,-999999999,-999999999,-999999999,-999999999,1454,-999999999,-999999999,-999999999,-999999999,5343,-999999999,-999999999,-999999999,-999999999,155442,71253,84189
Florence,AL,147970,70838,77132,91.8,7194,7009,10088,9479,10478,18147,17585,17465,9566,10736,17407,9768,3048,40.5,30003,117967,111446,36717,30223,55665,62302,89.3,13085,17138,76.4,145327,2643,122615,20117,425,-999999999,-999999999,-999999999,-999999999,184,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,245,-999999999,-999999999,-999999999,-999999999,1741,381,624,328,0,4441,-999999999,-999999999,-999999999,-999999999,116719,54900,61819
Fond du Lac,WI,103403,49220,54183,90.8,6012,6718,4820,6690,6451,11896,12214,13777,7614,7633,11249,5854,2475,42.2,21205,82198,77392,24380,19578,39828,42370,94,8828,10750,82.1,100651,2752,95812,1618,263,-999999999,-999999999,-999999999,-999999999,1289,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,250,-999999999,-999999999,-999999999,-999999999,1419,970,500,815,0,5588,-999999999,-999999999,-999999999,-999999999,80219,38717,41502
Forest City,NC,67029,31916,35113,90.9,3694,4367,3148,3958,3537,7488,6718,9219,4824,4622,8477,4928,2049,46.5,13494,53535,50882,18019,15454,25187,28348,88.8,6852,8602,79.7,65682,1347,58284,6660,54,-999999999,-999999999,-999999999,-999999999,383,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,301,-999999999,-999999999,-999999999,-999999999,3225,-999999999,-999999999,-999999999,-999999999,52502,24725,27777
Fort Collins,CO,356899,179484,177415,101.2,17447,16932,22549,24808,36974,53029,44701,38766,22188,21676,35736,16581,5512,36.4,69047,287852,267738,68659,57829,143007,144845,98.7,26841,30988,86.6,346027,10872,324847,3423,3996,-999999999,-999999999,-999999999,-999999999,7187,827,3254,729,128,329,950,970,469,-999999999,-999999999,-999999999,-999999999,6105,2550,1838,3529,0,42526,31669,1874,763,8220,280263,138868,141395
Fort Wayne,IN,413263,202126,211137,95.7,28539,29639,29151,26141,28080,56303,51911,49582,24896,26107,37902,19168,5844,36.8,104528,308735,295357,78300,62914,149041,159694,93.3,27949,34965,79.9,399162,14101,328094,42728,1316,-999999999,-999999999,-999999999,-999999999,17348,829,1615,935,100,1613,1927,10329,90,-999999999,-999999999,-999999999,-999999999,9586,9076,1479,1724,149,30247,23118,1417,448,5264,293799,141457,152342
Frankfort,KY,73738,36406,37332,97.5,4703,3322,5485,4512,3920,8337,8977,10380,6311,4792,8110,3892,997,42.7,16061,57677,54586,15914,12999,28234,29443,95.9,5670,7329,77.4,72088,1650,63360,6165,113,-999999999,-999999999,-999999999,-999999999,880,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1570,-999999999,-999999999,-999999999,-999999999,2352,493,146,0,1713,55818,27252,28566
Fresno,CA,999101,499209,499892,99.9,75131,78050,83375,72993,68112,154601,129486,107802,53801,50014,74006,34588,17142,32.7,281383,717718,675480,154137,125736,355417,362301,98.1,56541,69195,81.7,959280,39821,638792,47391,13588,-999999999,-999999999,-999999999,-999999999,104859,19873,8082,10656,3434,1218,3957,57639,1953,-999999999,-999999999,-999999999,-999999999,152697,6869,6605,8762,1043,537180,501518,5110,1621,28931,609208,296134,313074
Gadsden,AL,102268,49278,52990,93,5649,5923,7428,5108,6416,12286,11934,13583,6472,7475,11358,6401,2235,41.5,21989,80279,76368,24083,19994,37993,42286,89.8,8659,11335,76.4,100333,1935,79988,16040,290,-999999999,-999999999,-999999999,-999999999,796,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,-999999999,-999999999,-999999999,-999999999,3207,-999999999,-999999999,-999999999,-999999999,4230,-999999999,-999999999,-999999999,-999999999,79514,37677,41837
Gainesville,FL,328517,158033,170484,92.7,16925,14524,19244,25579,44109,46709,36847,34036,20264,17174,32408,14399,6299,34.5,60507,268010,241332,63572,53106,127871,140139,91.2,24345,28761,84.6,313174,15343,234752,55908,763,-999999999,-999999999,-999999999,-999999999,16090,4101,4003,1478,375,2760,2137,1236,1381,-999999999,-999999999,-999999999,-999999999,4280,6388,3020,2840,136,33500,7281,8596,7436,10187,251089,120592,130497
Gainesville,GA,204441,101421,103020,98.4,12892,12143,16409,14599,13288,25534,24598,28849,13140,11927,18359,10081,2622,38.4,50596,153845,146523,38926,31062,75564,78281,96.5,13917,17145,81.2,198568,5873,174994,13567,198,-999999999,-999999999,-999999999,-999999999,3757,118,349,171,305,252,2176,386,43,-999999999,-999999999,-999999999,-999999999,6009,2367,1014,913,107,59460,43192,2037,1628,12603,134202,64225,69977
Gallup,NM,71367,33125,38242,86.6,4899,5569,6843,4791,4555,11163,8185,7815,3679,3793,5658,3258,1159,33.2,20085,51282,48312,12277,10075,24157,27125,89.1,4183,5892,71,67636,3731,8354,279,53214,-999999999,-999999999,-999999999,-999999999,539,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,34,-999999999,-999999999,-999999999,-999999999,5216,-999999999,-999999999,-999999999,-999999999,10148,-999999999,-999999999,-999999999,-999999999,50774,24038,26736
Gettysburg,PA,103009,50914,52095,97.7,4740,5300,6061,7241,6944,11030,10892,13669,8144,7290,12652,6552,2494,44.3,20047,82962,78276,25917,21698,40363,42599,94.8,9943,11755,84.6,101482,1527,95929,2044,161,-999999999,-999999999,-999999999,-999999999,995,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,2353,803,292,0,72,7511,-999999999,-999999999,-999999999,-999999999,81064,39291,41773
Glens Falls,NY,125148,63111,62037,101.7,5281,5214,7674,7005,6575,15308,13596,16634,10449,9665,16336,7623,3788,46.5,22339,102809,98626,32733,27747,51126,51683,98.9,12953,14794,87.6,122745,2403,117813,2561,73,-999999999,-999999999,-999999999,-999999999,1395,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,41,-999999999,-999999999,-999999999,-999999999,862,691,472,479,71,3604,836,727,0,2041,101101,50224,50877
Glenwood Springs,CO,79002,40117,38885,103.2,4309,5553,3603,4529,4411,12504,11470,9268,5830,4606,8240,3051,1628,38.6,15867,63135,60542,15440,12919,32154,30981,103.8,5716,7203,79.4,77059,1943,68955,311,130,-999999999,-999999999,-999999999,-999999999,1007,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,75,-999999999,-999999999,-999999999,-999999999,6581,-999999999,-999999999,-999999999,-999999999,20233,16336,769,415,2713,55482,28272,27210
Goldsboro,NC,123131,59187,63944,92.6,7962,7176,9294,9094,9114,15139,13128,15189,8090,8146,12246,6674,1879,37.7,29018,94113,87080,26228,20799,45108,49005,92,8806,11993,73.4,120391,2740,78388,38998,480,-999999999,-999999999,-999999999,-999999999,1342,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6,-999999999,-999999999,-999999999,-999999999,1177,1007,247,541,0,15327,6413,1267,0,7647,88565,42023,46542
Grand Forks,ND,100815,51947,48868,106.3,6629,7054,5318,7337,11938,15849,10575,8956,6125,6027,8602,4341,2064,32.5,22131,78684,72029,18328,15007,40301,38383,105,6762,8245,82,98173,2642,88288,2391,2797,-999999999,-999999999,-999999999,-999999999,2506,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1626,-999999999,-999999999,-999999999,-999999999,565,351,997,402,115,5322,-999999999,-999999999,-999999999,-999999999,75727,38859,36868
Grand Island,NE,75553,37891,37662,100.6,5677,5584,5554,4631,4815,9102,8456,9904,4819,4307,7114,3858,1732,37.8,20220,55333,53303,14936,12704,27666,27667,100,5851,6853,85.4,73381,2172,60126,2237,770,-999999999,-999999999,-999999999,-999999999,818,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46,-999999999,-999999999,-999999999,-999999999,9384,194,1118,197,0,18353,10760,268,2238,5087,50775,24970,25805
Grand Junction,CO,154210,75242,78968,95.3,8462,8475,10225,10479,9221,19179,19894,15706,9097,12350,18778,7764,4580,39.9,32735,121475,115266,38047,31122,58685,62790,93.5,13943,17179,81.2,150041,4169,145148,836,1144,-999999999,-999999999,-999999999,-999999999,1634,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1279,1218,1247,843,0,22846,-999999999,-999999999,-999999999,-999999999,117220,57024,60196
Grand Rapids,MI,1077370,535241,542129,98.7,68027,72528,70840,75452,79114,155731,137297,124768,69516,64106,95361,43650,20980,36.1,254741,822629,773418,197082,159991,405420,417209,97.2,71989,88002,81.8,1032640,44730,900192,69412,2724,-999999999,-999999999,-999999999,-999999999,28272,5112,4361,1587,601,1530,4905,10176,48,-999999999,-999999999,-999999999,-999999999,31992,16717,8480,7325,2310,106409,73565,10229,3068,19547,787105,385927,401178
Grants Pass,OR,87487,42341,45146,93.8,4296,5139,4515,4691,3446,9990,9196,10557,5058,7587,13281,7056,2675,46.7,16790,70697,68337,27504,23012,33898,36799,92.1,10408,12604,82.6,84088,3399,81112,721,1300,-999999999,-999999999,-999999999,-999999999,410,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,545,220,2012,847,0,6720,-999999999,-999999999,-999999999,-999999999,69395,33399,35996
Great Falls,MT,81366,41114,40252,102.1,5654,5784,4010,4643,6656,10975,9443,7702,5362,5759,8490,4040,2848,37.4,18237,63129,60172,18744,15378,31701,31428,100.9,7302,8076,90.4,77491,3875,71320,776,4149,-999999999,-999999999,-999999999,-999999999,295,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,9,-999999999,-999999999,-999999999,-999999999,942,255,2690,285,144,3859,-999999999,-999999999,-999999999,-999999999,62825,31473,31352
Greeley,CO,324492,164209,160283,102.4,22654,24464,23010,23846,19888,49494,44463,39156,19351,17311,25252,11718,3885,34.8,84282,240210,225712,50657,40855,120741,119469,101.1,18889,21966,86,311753,12739,284067,4242,3074,-999999999,-999999999,-999999999,-999999999,4719,538,652,590,511,119,520,1789,580,-999999999,-999999999,-999999999,-999999999,15071,1335,4799,3250,193,97348,80448,952,239,15709,223529,111513,112016
Green Bay,WI,322906,160476,162430,98.8,19449,20659,21266,21686,19960,40391,40085,41388,23124,21250,32007,15551,6090,39,74149,248757,236118,66556,53648,123152,125605,98,24544,29104,84.3,313446,9460,279274,7229,7769,-999999999,-999999999,-999999999,-999999999,9454,1477,1486,1230,130,62,355,4714,21,-999999999,-999999999,-999999999,-999999999,9699,2588,3869,950,485,25324,18318,2237,108,4661,240058,118167,121891
Greeneville,TN,69069,34191,34878,98,3299,4039,3591,4153,3616,7719,8099,9674,4552,5278,8819,4857,1373,45,13308,55761,53279,18442,15049,26796,28965,92.5,6711,8338,80.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2099,-999999999,-999999999,-999999999,-999999999,54947,26338,28609
Greensboro,NC,771851,369722,402129,91.9,44857,43099,51819,57450,49189,101444,91884,101877,53839,47921,75056,38267,15149,39.2,169051,602800,564696,155632,128472,282672,320128,88.3,55871,72601,77,746926,24925,479046,210328,5185,-999999999,-999999999,-999999999,-999999999,28622,7683,2624,1011,802,879,6655,8968,289,-999999999,-999999999,-999999999,-999999999,23456,11779,2528,3072,3300,68176,39218,8364,1692,18902,569768,266773,302995
Greenville,NC,180742,83151,97591,85.2,10001,10774,11470,14416,22038,25655,20706,21045,11988,7927,15018,7505,2199,33.4,38491,142251,128819,29469,24722,64879,77372,83.9,10527,14195,74.2,174009,6733,100199,61537,366,-999999999,-999999999,-999999999,-999999999,2936,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,217,-999999999,-999999999,-999999999,-999999999,8754,-999999999,-999999999,-999999999,-999999999,11730,8961,972,429,1368,136861,62991,73870
Greenville,SC,920477,446932,473545,94.4,53966,55558,59835,62551,63026,122303,112011,116256,61217,57918,91600,50006,14230,38.5,204035,716442,674220,189322,155836,343010,373432,91.9,68927,86909,79.3,894421,26056,697748,143868,3135,-999999999,-999999999,-999999999,-999999999,18599,7517,2374,1366,748,643,3700,2251,1637,-999999999,-999999999,-999999999,-999999999,29434,14695,2449,3063,270,66451,29406,6735,1924,28386,684487,325902,358585
Greenwood,SC,70811,33222,37589,88.4,4356,4634,4055,4405,4573,9287,8853,7933,4625,3819,8214,4082,1975,39.9,15665,55146,51793,16668,14271,25183,29963,84,6503,7768,83.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4382,-999999999,-999999999,-999999999,-999999999,54569,24989,29580
Guayama,PR,69845,34832,35013,99.5,2131,3582,4627,3389,4570,8427,9524,8308,5525,4089,8525,5094,2054,42.9,12272,57573,55365,17749,15673,28517,29056,98.1,7037,8636,81.5,67425,2420,42051,23921,0,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1453,-999999999,-999999999,-999999999,-999999999,69611,-999999999,-999999999,-999999999,-999999999,57264,28334,28930
Gulfport,MS,417665,202220,215445,93.9,24670,24776,30242,32191,22249,50952,52724,54544,28198,28778,41004,19982,7355,39.7,96084,321581,300344,84360,68341,153585,167996,91.4,31068,37273,83.4,402041,15624,300024,88489,1712,-999999999,-999999999,-999999999,-999999999,8442,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,3374,5410,2961,4149,559,23231,7132,4940,1696,9463,316371,151998,164373
Hagerstown,MD,289545,145220,144325,100.6,16557,19212,17236,16401,15705,38699,37150,40197,19711,19480,30177,13648,5372,40.7,63350,226195,217701,61124,49197,113233,112962,100.2,22941,26256,87.4,278095,11450,242546,27414,244,-999999999,-999999999,-999999999,-999999999,4443,1746,858,120,49,455,579,636,111,-999999999,-999999999,-999999999,-999999999,3337,7055,1084,1505,320,14528,1211,4143,445,8729,219012,109219,109793
Hammond,LA,134758,65475,69283,94.5,9124,9089,9637,10952,8701,17356,17294,15782,8922,7805,12416,6145,1535,36.6,32818,101940,93889,25589,20096,48146,53794,89.5,8924,11172,79.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,5942,-999999999,-999999999,-999999999,-999999999,100134,47298,52836
Hanford,CA,152940,83977,68963,121.8,12481,9273,13583,9811,12709,26301,20966,17247,8322,6140,9558,5042,1507,31.8,41343,111597,105232,20232,16107,63688,47909,132.9,7725,8382,92.2,145971,6969,115128,8635,2804,-999999999,-999999999,-999999999,-999999999,5104,109,300,3582,79,233,246,555,460,-999999999,-999999999,-999999999,-999999999,13840,2449,383,1643,368,84514,78692,1771,280,3771,94140,54487,39653
Harrisburg,PA,577941,284546,293395,97,33272,32342,37337,36355,33733,76418,69101,75291,40404,39157,60767,30227,13537,40.6,123799,454142,431059,128015,104531,220904,233238,94.7,45571,58960,77.3,560271,17670,456981,65944,1538,-999999999,-999999999,-999999999,-999999999,25276,7612,5111,639,313,573,2285,8743,254,-999999999,-999999999,-999999999,-999999999,10278,6951,3238,2848,532,39611,5624,21413,1339,11235,437027,211551,225476
Harrisonburg,VA,134964,65586,69378,94.5,6981,8149,7391,13859,15413,17892,15144,14125,7291,7824,11560,5403,3932,33.6,26710,108254,95438,25737,20895,51696,56558,91.4,9529,11366,83.8,129948,5016,117429,8758,413,-999999999,-999999999,-999999999,-999999999,1554,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,113,-999999999,-999999999,-999999999,-999999999,1681,2811,0,1547,112,17098,7066,3959,544,5529,101353,48379,52974
Hartford,CT,1204877,589866,615011,95.9,60574,64652,70069,81523,84933,152869,145538,158868,84363,87721,119424,63523,30820,41,240763,964114,910366,264357,213767,466599,497515,93.8,93307,120460,77.5,1155032,49845,880870,135731,3645,-999999999,-999999999,-999999999,-999999999,64318,26975,16023,3429,849,4095,4172,8775,543,-999999999,-999999999,-999999999,-999999999,69925,25093,3041,6222,1551,186787,13588,123693,3142,46364,904628,435005,469623
